time,header,pn,pe,pd,vn,ve,vd,yaw,an,ae,ad
2022/03/09 14:08:45.730987393,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.9710140316818128,0.10021426892725627,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:47.729780887,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6418876122757036,0.8553509527321579,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:49.728785361,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.11156079729859147,0.12741876916114347,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:51.730946992,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.9125407845477205,-0.8442560200000988,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:53.732966330,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.4030132897968701,-0.29065612583995803,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:55.738396339,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.1352733924979439,-0.5387823555007156,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:57.731374136,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.7610031895428107,0.15664494997581446,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:08:59.734142022,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.11683865234839552,-0.3697826082998641,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:01.729080901,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.36639047587676443,-0.9581981080031763,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:03.738195741,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.3886308031954422,-0.33205417924664915,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:05.730701814,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.42055575613563323,-0.44751867109132704,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:07.733523938,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.3971170207456447,-0.6458917854047206,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:09.734321096,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.19139646909372576,0.9537969063402763,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:11.731244483,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.6198282215352899,0.7247871495782543,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:13.737640118,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.06331504630257001,0.528994365032808,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:15.730544989,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.3205242913966191,0.8881452569693886,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:17.733934922,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.4498361369751447,0.3015532314909548,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:19.729447302,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.7061653098819627,0.8611003500786603,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:21.732923350,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6159268743475195,0.11009019870204728,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:23.730391055,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.2474192052616333,-0.6878262589407531,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:25.733398570,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.509139859461478,0.790329960493533,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:27.730324532,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.6774812177430936,-0.5505925769696907,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:29.734753642,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.9081141614141337,0.9104036313674735,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:31.736773347,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.22051948323357928,-0.1383108959542767,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:33.736689023,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8399492241706601,0.03562708652274216,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:35.741225992,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.5086695122051024,0.023895607122696116,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:37.734261013,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.009092802756723195,0.666851951027978,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:39.730440643,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.008714018603672269,-0.7794304213720471,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:41.735542885,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.5817305438105147,-0.8236186213513779,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:43.732374736,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.17078890830750937,-0.03380305728685107,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:45.730525542,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.4690715187415959,-0.8324912575033383,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:47.730384345,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,-0.2914728690547763,0.6380517157311785,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:49.733853707,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.7967986613373281,0.9524409345498703,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:51.731255005,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.8981701417466692,-0.18863120940561662,0.0,0.0,0.0,0.0,0.0
2022/03/09 14:09:53.734795960,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': ''}",0.0,0.0,0.0,0.9331920471790418,-0.5039394439081282,0.0,0.0,0.0,0.0,0.0
